Y,Timestamp,X,Page,Interaction Type
899.5,1524340000000,441,magnetbox,touch
889.5,1524340000000,722.5,magnetbox,touch
396.5,1524340000000,205,magnetbox,touch
407.5,1524340000000,482.5,magnetbox,touch
408.5,1524340000000,683.5,magnetbox,touch
673.5,1524340000000,182,magnetbox,touch
631.5,1524340000000,445,magnetbox,touch
664.5,1524340000000,732,magnetbox,touch
850.5,1524340000000,164.5,magnetbox,touch
875,1524340000000,465,magnetbox,touch
894,1524340000000,726,magnetbox,touch
378.5,1524340000000,194,magnetbox,touch
370.5,1524340000000,442.5,magnetbox,touch
379.5,1524340000000,710.5,magnetbox,touch
620.5,1524340000000,207.5,magnetbox,touch
665.5,1524340000000,468,magnetbox,touch
630,1524340000000,704.5,magnetbox,touch
895.5,1524340000000,229,magnetbox,touch
872,1524340000000,452.5,magnetbox,touch
882,1524340000000,688.5,magnetbox,touch
379,1524340000000,198,magnetbox,touch
359,1524340000000,451.5,magnetbox,touch
390,1524340000000,692.5,magnetbox,touch
661.5,1524340000000,171,magnetbox,touch
624,1524340000000,476.5,magnetbox,touch
661,1524340000000,731.5,magnetbox,touch
919,1524340000000,201.5,magnetbox,touch
853.5,1524340000000,453.5,magnetbox,touch
880,1524340000000,722.5,magnetbox,touch
379,1524340000000,198.5,magnetbox,touch
354,1524350000000,193,magnetbox,touch
393.5,1524350000000,435.5,magnetbox,touch
371,1524350000000,693.5,magnetbox,touch
640,1524350000000,219.5,magnetbox,touch
628,1524350000000,210.5,magnetbox,touch
665.5,1524350000000,456.5,magnetbox,touch
646.5,1524350000000,713.5,magnetbox,touch
894,1524350000000,212,magnetbox,touch
870,1524350000000,695.5,magnetbox,touch
395,1524350000000,219,magnetbox,touch
434,1524350000000,440,magnetbox,touch
630,1524350000000,192,magnetbox,touch
648.5,1524350000000,452.5,magnetbox,touch
654,1524350000000,692.5,magnetbox,touch
884,1524350000000,210.5,magnetbox,touch
881,1524350000000,465,magnetbox,touch
902.5,1524350000000,461.5,magnetbox,touch
895.5,1524350000000,456.5,magnetbox,touch
378.5,1524530000000,245,magnetbox,touch
393,1524530000000,479.5,magnetbox,touch
408,1524530000000,702.5,magnetbox,touch
625.5,1524530000000,221,magnetbox,touch
639,1524530000000,465.5,magnetbox,touch
656.5,1524530000000,711,magnetbox,touch
866,1524530000000,207.5,magnetbox,touch
902,1524530000000,476,magnetbox,touch
889.5,1524530000000,745,magnetbox,touch
386.5,1524530000000,223.5,magnetbox,touch
403,1524530000000,479,magnetbox,touch
417,1524530000000,748.5,magnetbox,touch
619.5,1524530000000,236,magnetbox,touch
634.5,1524530000000,500.5,magnetbox,touch
654.5,1524530000000,747.5,magnetbox,touch
882.5,1524530000000,214.5,magnetbox,touch
889.5,1524530000000,438,magnetbox,touch
867,1524530000000,704,magnetbox,touch
388,1524699280434,216.5,magnetbox,touch
392,1524699292326,454,magnetbox,touch
410,1524699302622,722.5,magnetbox,touch
660,1524699312275,238,magnetbox,touch
642,1524699324196,457.5,magnetbox,touch
649,1524699335672,715.5,magnetbox,touch
880,1524699343121,233.5,magnetbox,touch
884.5,1524699348828,463,magnetbox,touch
904,1524699357996,717.5,magnetbox,touch
412,1524699365705,219.5,magnetbox,touch
390.5,1524699381877,457,magnetbox,touch
409,1524699391957,711,magnetbox,touch
646,1524699401755,227.5,magnetbox,touch
629,1524699409933,464.5,magnetbox,touch
644.5,1524699417486,720.5,magnetbox,touch
911,1524699424288,239,magnetbox,touch
894.5,1524699430658,479,magnetbox,touch
871.5,1524699436850,704.5,magnetbox,touch
388,1524699280434,216.5,magnetbox,
392,1524699292326,454,magnetbox,
410,1524699302622,722.5,magnetbox,
660,1524699312275,238,magnetbox,
642,1524699324196,457.5,magnetbox,
649,1524699335672,715.5,magnetbox,
880,1524699343121,233.5,magnetbox,
884.5,1524699348828,463,magnetbox,
904,1524699357996,717.5,magnetbox,
412,1524699365705,219.5,magnetbox,
390.5,1524699381877,457,magnetbox,
409,1524699391957,711,magnetbox,
646,1524699401755,227.5,magnetbox,
629,1524699409933,464.5,magnetbox,
644.5,1524699417486,720.5,magnetbox,
911,1524699424288,239,magnetbox,
894.5,1524699430658,479,magnetbox,
871.5,1524699436850,704.5,magnetbox,
356.5,1524765484654,201.5,magnetbox,
347.5,1524765495971,434,magnetbox,
360.5,1524765507163,695.5,magnetbox,
655.5,1524765518907,196.5,magnetbox,
616.5,1524765526936,473.5,magnetbox,
634,1524765535354,679.5,magnetbox,
874,1524765542690,201,magnetbox,
877,1524765558440,449.5,magnetbox,
882,1524765564041,705.5,magnetbox,
383,1524765576273,208,magnetbox,
380.5,1524765585835,463.5,magnetbox,
